day_of_week,hour,weather_severity,traffic_congestion,demand_Ambreiaj,demand_Placute_Frana,demand_Alternator,demand_Filtru_Ulei,demand_Amortizor
1,5,0.25,4.5,20,38,0,50,17
1,6,0.71,7.56,0,45,11,57,20
1,7,0.9,3.48,1,5,0,6,1
1,8,0.51,6.65,22,42,11,53,19
1,9,0.53,7.95,22,43,0,54,20
1,10,0.11,9.27,23,44,11,54,20
1,11,0.45,2.35,15,28,7,37,13
1,12,0.53,3.99,15,29,0,37,13
1,13,0.24,1.52,12,22,6,29,10
1,14,0.27,9.92,0,37,0,43,18
1,15,0.38,9.27,18,34,9,40,17
1,16,0.02,5.4,13,25,0,30,12
1,17,0.32,8.42,0,31,8,35,15
1,18,0.21,5.21,13,24,0,28,12
1,19,0.33,6.24,14,26,7,30,13
1,20,0.12,0.89,9,16,4,21,8
1,21,0.89,7.55,0,2,1,2,0
1,22,0.59,1.28,11,20,5,26,9
1,23,0.68,8.26,19,36,9,43,17
2,0,0.79,7.82,19,37,0,45,17
2,1,0.5,7.09,20,38,10,47,17
2,2,0.09,0.36,0,26,7,36,11
2,3,0.54,3.03,17,33,8,44,15
2,4,0.59,2.63,18,34,9,45,15
2,5,0.75,3.6,19,36,9,48,16
2,6,0.43,0.88,16,31,0,43,13
2,7,0.13,9.37,25,48,12,60,22
2,8,0.28,5.54,21,40,0,51,18
2,9,0.36,3.06,17,33,8,44,15
2,10,0.65,3.97,17,33,8,43,15
2,11,0.57,4.47,17,33,8,42,15
2,12,0.36,6.01,18,34,9,42,16
2,13,0.99,5.16,1,2,0,2,1
2,14,0.61,9.19,19,36,9,42,17
2,15,0.24,4.97,14,26,0,31,12
2,16,0.1,9.92,0,34,9,39,17
2,17,0.15,8.51,16,31,8,35,15
2,18,0.25,2.09,10,18,0,22,9
2,19,0.16,9.31,17,32,8,37,16
2,20,0.19,1.16,9,17,4,21,8
2,21,0.29,8.17,17,32,8,37,16
2,22,0.17,3.81,13,25,6,31,12
2,23,0.9,8.78,1,1,0,0,2
3,0,0.08,8.68,20,39,10,47,18
3,1,0.52,8.06,21,40,10,49,18
3,2,0.41,7.9,0,41,0,51,19
3,3,0.98,3.05,2,2,0,4,2
3,4,0.11,0.81,16,30,8,42,13
3,5,0.4,4.03,0,37,9,49,16
3,6,0.97,1.74,0,3,1,5,1
3,7,0.87,6.95,2,4,0,2,2
3,8,0.82,3.46,18,35,0,47,16
3,9,0.26,9.76,0,47,12,58,21
3,10,0.17,6.41,20,38,10,48,17
3,11,0.67,8.22,21,40,10,49,18
3,12,0.93,1.33,1,2,0,2,0
3,13,0.56,8.62,0,37,0,44,17
3,14,0.57,9.23,19,36,9,42,17
3,15,0.28,4.87,14,26,7,31,12
3,16,0.77,6.06,14,27,7,31,13
3,17,0.19,7.65,0,29,7,33,14
3,18,0.32,1.75,9,17,0,21,8
3,19,0.43,5.03,13,24,6,28,12
3,20,0.51,3.99,12,23,6,27,11
3,21,0.24,1.46,0,19,5,24,9
3,22,0.11,3.68,13,25,0,31,12
3,23,0.61,0.68,0,21,0,28,9
4,0,0.29,0.26,12,22,0,30,10
4,1,0.58,1.35,14,26,7,35,12
4,2,0.15,9.63,23,45,11,55,21
4,3,0.48,5.5,20,38,10,49,17
4,4,0.53,9.66,25,48,12,59,22
4,5,0.05,4.32,20,38,10,50,17
4,6,0.34,3.12,19,36,9,48,16
4,7,0.13,5.06,20,39,0,51,17
4,8,0.06,4.4,19,37,9,49,16
4,9,0.99,1.06,0,2,0,5,0
4,10,0.32,6.41,20,38,0,48,17
4,11,0.81,2.16,0,28,7,37,12
4,12,0.25,6.2,18,34,9,42,16
4,13,0.68,6.5,17,32,8,39,15
4,14,0.76,1.52,11,21,0,27,10
4,15,0.6,0.61,9,17,4,22,8
4,16,0.47,7.81,16,30,8,35,15
4,17,0.41,4.6,12,23,0,27,11
4,18,0.35,0.58,8,15,4,19,7
4,19,0.93,9.95,0,4,0,5,2
4,20,0.83,0.58,9,16,0,20,7
4,21,0.97,6.95,0,3,0,1,1
4,22,0.12,9.84,19,37,0,43,18
4,23,0.73,2.39,13,24,6,31,11
5,0,0.94,1.42,0,0,0,0,0
5,1,0.18,1.21,3,2,1,4,3
5,2,0.07,3.03,0,4,1,11,3
5,3,0.74,1.01,2,6,1,10,2
5,4,0.57,6.92,2,7,2,13,3
5,5,0.84,0.62,2,5,1,4,2
5,6,0.14,5.09,0,11,0,14,3
5,7,0.8,9.97,0,13,3,11,3
5,8,0.2,8.14,0,12,2,9,5
5,9,0.16,6.15,3,6,1,10,3
5,10,0.16,3.06,4,7,2,4,2
5,11,0.81,6.24,3,5,0,11,2
5,12,0.67,5.27,0,4,1,8,2
5,13,0.52,4.26,2,3,1,4,3
5,14,0.36,1.31,1,3,1,3,1
5,15,0.88,8.87,0,0,0,0,0
5,16,0.39,4.5,1,2,1,6,1
5,17,0.82,1.95,0,4,1,5,0
5,18,0.44,3.68,2,4,1,2,1
5,19,0.38,4.14,2,3,1,2,2
5,20,0.46,8.28,1,6,2,7,3
5,21,0.3,7.34,2,4,2,9,2
5,22,0.75,7.69,4,7,1,6,3
5,23,0.5,0.11,1,3,1,4,2
6,0,0.23,4.16,3,4,0,8,2
6,1,0.9,4.81,0,0,0,0,0
6,2,0.38,0.19,4,7,1,8,2
6,3,0.54,2.6,0,5,0,9,3
6,4,0.91,7.6,0,1,0,1,0
6,5,0.62,1.37,0,9,1,10,1
6,6,0.12,5.35,4,10,0,7,3
6,7,0.94,2.15,0,0,0,0,0
6,8,0.63,0.12,0,8,1,5,2
6,9,0.33,2.41,4,5,2,10,2
6,10,0.14,9.76,0,7,2,15,5
6,11,0.79,8.02,0,4,0,14,2
6,12,0.62,9.6,5,10,0,11,5
6,13,0.53,4.88,2,7,0,5,1
6,14,0.89,1.1,0,0,0,0,0
6,15,0.79,5.48,3,5,0,7,3
6,16,0.15,4.54,0,2,1,6,1
6,17,0.31,8.44,0,9,2,9,4
6,18,0.25,0.98,1,2,1,4,1
6,19,0.74,4.88,0,2,1,7,1
6,20,0.03,1.5,0,3,0,2,1
6,21,0.57,3.25,0,5,0,6,1
6,22,0.76,7.37,1,3,2,10,2
6,23,0.88,4.76,0,0,0,0,0
0,0,0.34,3.76,0,29,7,37,13
0,1,0.82,3.94,16,31,8,40,14
0,2,0.11,4.59,18,35,0,45,16
0,3,0.85,7.85,22,43,11,54,19
0,4,0.13,8.92,24,46,12,58,21
0,5,0.4,9.55,25,48,0,60,22
0,6,0.8,7.87,23,45,11,57,20
0,7,0.15,3.15,0,36,0,47,16
0,8,0.23,6.88,22,42,11,54,19
0,9,0.72,4.38,19,36,9,47,16
0,10,0.72,2.55,16,31,8,41,14
0,11,0.64,8.41,21,40,0,49,19
0,12,0.69,0.38,0,22,0,30,10
0,13,0.54,9.02,19,37,0,44,18
0,14,0.25,4.61,14,27,7,33,13
0,15,0.35,6.37,15,29,7,34,14
0,16,0.18,6.59,15,28,7,32,13
0,17,0.91,8.95,0,0,0,1,0
0,18,0.58,6.37,14,26,7,30,13
0,19,0.4,6.14,14,26,7,30,13
0,20,0.46,0.67,9,16,4,20,8
0,21,0.95,5.18,0,0,0,4,1
0,22,0.15,1.5,0,20,0,26,9
0,23,0.59,7.37,18,34,9,41,16
1,0,0.51,5.12,17,32,0,40,15
1,1,0.61,6.8,19,37,9,46,17
1,2,0.02,0.42,14,26,7,36,11
1,3,0.87,0.85,0,2,0,0,1
1,4,0.93,7.16,2,1,0,4,0
1,5,0.57,0.72,16,31,8,43,13
1,6,0.7,0.71,0,31,8,43,13
1,7,0.92,0.12,0,4,0,1,1
1,8,0.71,9.57,0,48,12,59,22
1,9,0.15,7.38,22,42,11,53,19
1,10,0.58,3.53,17,33,0,43,15
1,11,0.61,2.97,0,30,8,39,13
1,12,0.42,3.5,15,29,7,37,13
1,13,0.74,7.75,18,35,9,42,16
1,14,0.93,6.61,1,3,0,3,1
1,15,0.93,1.85,0,2,0,0,1
1,16,0.45,1.74,0,18,0,23,9
1,17,0.11,0.98,0,16,4,20,8
1,18,0.98,6.6,1,1,0,1,0
1,19,0.84,7.64,15,29,7,33,14
1,20,0.12,2.65,11,20,5,24,10
1,21,0.92,0.21,0,2,0,1,0
1,22,0.87,0.82,0,1,0,3,0
1,23,0.52,9.68,20,39,10,46,18
2,0,0.59,2.95,14,27,7,35,12
2,1,0.4,7.69,20,39,10,48,18
2,2,0.05,6.25,20,38,10,48,17
2,3,0.34,3.82,18,35,9,46,15
2,4,0.8,2.06,17,33,0,44,14
2,5,0.0,1.21,17,32,8,44,14
2,6,0.33,6.15,22,42,11,54,19
2,7,0.4,7.75,23,45,11,57,20
2,8,0.54,6.44,21,41,0,53,19
2,9,0.92,5.3,1,1,0,1,0
2,10,0.35,0.42,14,26,7,36,11
2,11,0.35,9.68,22,43,0,52,20
2,12,0.74,7.99,0,37,9,45,17
2,13,0.45,2.93,13,25,6,32,12
2,14,0.22,9.8,19,37,9,43,18
2,15,0.45,6.02,15,28,0,33,13
2,16,0.14,5.82,0,26,7,31,13
2,17,0.18,7.48,15,29,7,33,14
2,18,0.5,8.12,16,30,0,34,15
2,19,0.42,6.56,14,27,0,31,13
2,20,0.91,1.28,1,0,0,0,0
2,21,0.36,3.38,12,23,0,28,11
2,22,0.58,9.28,19,36,9,42,17
2,23,0.63,2.25,0,24,6,31,11
3,0,0.01,3.72,15,29,0,37,13
3,1,0.66,4.32,0,32,8,41,15
3,2,0.18,4.39,18,34,0,44,15
3,3,0.96,6.13,0,0,0,5,2
3,4,0.15,9.43,0,47,12,59,22
3,5,0.41,2.41,0,34,0,46,15
3,6,0.09,1.22,17,32,0,44,14
3,7,1.0,1.97,1,3,0,3,1
3,8,0.5,8.87,0,46,12,58,21
3,9,0.6,6.46,0,40,10,51,18
3,10,0.07,2.86,0,31,0,41,14
3,11,0.75,8.16,0,40,10,49,18
3,12,0.21,8.61,20,39,10,47,18
3,13,0.9,8.47,0,2,0,5,2
3,14,0.21,9.19,0,36,9,42,17
3,15,0.19,2.52,0,21,0,26,10
3,16,0.04,7.55,16,30,8,34,14
3,17,0.47,4.61,12,23,0,27,11
3,18,0.56,8.42,0,30,8,34,15
3,19,0.07,7.28,0,28,7,32,14
3,20,0.78,7.76,16,30,8,35,15
3,21,0.45,6.56,0,29,7,34,14
3,22,0.52,1.77,0,21,5,27,10
3,23,0.44,5.45,16,30,8,37,14
4,0,0.4,9.85,21,41,10,49,19
4,1,0.56,9.37,22,42,11,51,20
4,2,0.16,0.43,14,26,7,36,11
4,3,0.18,1.65,16,30,8,41,13
4,4,0.86,1.32,1,1,0,0,1
4,5,0.95,7.26,0,4,0,5,0
4,6,0.37,8.18,24,46,0,58,21
4,7,0.27,2.14,18,34,9,45,15
4,8,0.64,5.06,20,39,10,50,17
4,9,0.41,8.41,23,44,11,55,20
4,10,0.03,7.33,21,40,10,50,18
4,11,0.16,5.42,0,34,0,43,16
4,12,0.72,5.9,17,33,8,41,15
4,13,0.66,5.08,0,30,8,37,14
4,14,0.03,2.98,12,23,6,29,11
4,15,0.22,5.65,0,27,7,32,13
4,16,0.23,6.89,15,28,0,33,14
4,17,0.67,8.73,0,31,0,35,15
4,18,0.02,6.36,14,26,7,30,13
4,19,0.1,7.61,15,29,7,33,14
4,20,0.8,1.6,0,18,5,22,9
4,21,0.18,4.62,13,25,0,30,12
4,22,0.65,0.09,10,18,5,24,8
4,23,0.24,2.47,0,24,6,31,11
5,0,0.1,7.26,0,5,0,6,2
5,1,0.24,9.92,4,9,2,6,3
5,2,0.72,0.99,3,4,1,8,2
5,3,0.86,4.01,0,1,0,1,0
5,4,0.83,8.0,4,8,1,9,2
5,5,0.4,2.04,4,5,1,8,1
5,6,0.67,5.55,4,7,2,9,2
5,7,0.2,7.33,5,11,0,16,3
5,8,0.29,6.16,2,6,2,8,5
5,9,0.9,1.88,0,0,0,0,0
5,10,0.01,3.55,3,6,1,9,2
5,11,0.09,7.84,0,7,1,7,3
5,12,0.21,5.54,1,8,0,11,1
5,13,0.03,0.05,1,2,0,4,2
5,14,0.18,7.61,0,5,1,10,4
5,15,0.58,0.35,0,4,0,2,1
5,16,0.42,7.46,2,7,1,7,3
5,17,0.89,2.02,0,0,0,0,0
5,18,0.82,9.58,0,5,2,10,4
5,19,0.34,3.68,2,6,0,4,2
5,20,0.26,3.27,1,2,1,7,2
5,21,0.38,1.49,2,5,1,5,1
5,22,0.59,3.06,3,5,1,4,1
5,23,0.27,8.77,0,7,1,6,2
6,0,0.62,9.96,5,4,2,8,2
6,1,0.41,3.68,1,6,0,4,3
6,2,0.55,4.49,4,6,2,5,3
6,3,0.44,7.22,2,5,1,6,2
6,4,0.29,8.86,5,10,1,10,5
6,5,0.95,5.93,0,1,0,0,0
6,6,0.76,3.92,2,9,2,6,2
6,7,0.14,4.13,4,4,2,11,2
6,8,0.87,6.96,0,0,0,0,0
6,9,0.49,0.03,3,6,1,5,2
6,10,0.89,6.2,0,1,0,1,0
6,11,0.8,3.55,4,3,1,6,1
6,12,0.43,7.94,0,6,0,10,1
6,13,0.02,0.93,2,4,0,5,2
6,14,0.27,5.88,0,5,1,8,1
6,15,0.54,4.81,0,6,0,7,3
6,16,0.63,6.42,2,7,1,7,2
6,17,0.26,0.65,2,3,0,3,1
6,18,0.14,5.8,0,4,1,3,2
6,19,0.83,5.61,3,3,1,5,1
6,20,0.98,5.61,0,0,0,0,0
6,21,0.53,6.03,2,5,0,8,3
6,22,0.17,6.76,2,7,1,11,2
6,23,0.27,8.05,4,8,1,5,2
0,0,0.02,2.7,14,27,7,35,12
0,1,0.91,8.25,0,0,1,5,2
0,2,0.12,4.98,0,35,9,45,16
0,3,0.58,0.77,15,29,7,40,12
0,4,0.27,0.59,16,30,8,41,13
0,5,0.55,3.34,19,36,9,48,16
0,6,0.65,7.85,23,45,11,57,20
0,7,0.83,7.08,22,43,11,55,19
0,8,0.21,7.89,23,44,11,56,20
0,9,0.01,5.17,0,37,0,48,17
0,10,0.14,4.4,0,34,9,44,15
0,11,0.9,1.47,1,1,0,3,0
0,12,0.87,3.28,0,0,0,5,1
0,13,0.6,4.34,15,28,7,35,13
0,14,0.6,0.89,0,19,0,25,9
0,15,0.67,2.21,11,20,5,25,10
0,16,0.18,5.98,0,27,7,31,13
0,17,0.91,7.36,0,0,0,4,1
0,18,0.42,9.98,17,33,8,37,16
0,19,0.38,9.33,17,32,8,37,16
0,20,0.52,6.43,14,27,7,32,13
0,21,0.05,4.21,13,24,6,29,12
0,22,0.17,6.36,16,30,8,36,14
0,23,0.74,7.86,18,35,0,42,17
1,0,0.08,1.18,13,24,0,32,11
1,1,0.6,4.1,17,32,8,41,14
1,2,0.25,8.4,22,42,11,52,19
1,3,0.39,3.84,0,35,9,46,15
1,4,0.29,5.72,21,40,0,51,18
1,5,0.36,5.88,0,41,0,53,18
1,6,0.72,1.84,0,33,8,45,14
1,7,0.3,3.62,19,36,9,48,16
1,8,0.57,3.35,18,35,9,47,15
1,9,0.48,0.26,15,28,7,39,12
1,10,0.66,0.24,14,26,7,36,11
1,11,0.94,8.32,2,5,0,5,0
1,12,0.73,2.73,0,27,7,35,12
1,13,0.21,5.18,0,30,8,37,14
1,14,0.03,2.99,12,23,6,29,11
1,15,0.26,9.41,0,35,0,40,17
1,16,0.6,2.59,0,20,0,24,9
1,17,0.05,4.3,12,22,6,27,11
1,18,0.5,8.73,16,31,8,35,15
1,19,0.6,8.42,16,31,0,35,15
1,20,0.33,1.86,10,18,0,23,9
1,21,0.77,8.03,17,32,0,37,15
1,22,0.11,4.58,0,27,7,33,13
1,23,0.08,4.83,0,29,0,36,14
2,0,0.73,1.33,13,24,6,32,11
2,1,0.5,0.81,13,25,6,34,11
2,2,0.69,7.28,21,40,10,50,18
2,3,0.43,4.96,0,37,0,48,17
2,4,0.25,4.37,19,37,9,49,16
2,5,0.82,7.3,23,44,0,56,20
2,6,0.8,7.66,23,45,11,57,20
2,7,0.69,1.59,17,32,8,44,14
2,8,0.27,6.1,21,41,10,52,18
2,9,0.59,1.35,16,30,8,41,13
2,10,0.36,7.51,21,41,10,51,19
2,11,0.09,6.57,19,37,9,46,17
2,12,0.92,9.57,2,0,1,1,0
2,13,0.14,0.69,11,21,5,28,9
2,14,0.95,0.57,0,1,0,3,0
2,15,0.45,2.82,11,21,5,27,10
